a-uw-a, auwi-a	awfa
faġr-i, faġri	fāġri
faġr-o-ež, faġri-ož	paġruž
faġri-a	fāġra, paġra
faġri-ā=ma	faġrāma
fašt-o, fašt-u	faštu
fašš+ar+i-a, fašš-ar-a, fašš-ar-a	faššara
fašš-i, fašši	fašši
faž+ūli=ma, faž-ūl-i=ma	fažūlima
faž-a-b	fažab
faž-a=mma, fāži-a=mma	fažamma
faž-i-a, fāži-i-a, pāži-i-a	pāžia
faž-i=l	fāžel
faž-id-o	pāžidu
faž-o-ež, fāži-ož	fāžuž
faž-u	fāžu
faž-u+m+ai	fažumai
faž-ēd-a	fažēda, pažēda
felz-a-b	felzab
fendi-a, pend-a	fenda
fir+iški	firiški
fitf-a, fitfi-a	fitfa
fižaišfi-ne=l	fižaišfinel
fod+i+ġe	fodiġi
fog+ugar+i	fogugari
fog+ādi-a, fog-ād-a	fogāda
fog-uġ-ō-m	fouguġūm
fogl-b-a, pugulbi-a	pugulba
fogl-āl-a	foglāla, puglāla
fondur+o+ni-ne-e=nna, fondur+o+ni-ne-nna, fondur+o+ni-ne=nna, fondur+o+nni-nna, fondur+o+nni=nna	fondurunnenna
fonuġ+o+ni-na, fonuġ+o+nni-a	fonuġunna
for+ali-ī-ne-ē, for+ali-ī-nē, for+all+ī+nnē, fōr+all+i+nni-i-ē, fōr+all+i+nni-iē	fōrālīnie
for+āna, for+āna-a	forāna
for-ed-i	foride
for-i	pōri
for-i, for-i, fōri	fōri
for-i-le	forili
for-i-va-en-i=ma	forivaenima
for-i=l, fōri-i=l	fōril
for-i=ma, fōri=ma	forima
for-ošt-ugar-iž-a	pōruštugariža
for-ud-o-m	pūrudum
for-ušš-o-en-i=m, foruššue+nni=m, foruššueni-ne-e=m, foruššueni-ne=m	foruššuenim, foružuenim
for-ušš-o-ēn-i=m, foruššue+nni=m, foruššueni-ne-e=m, foruššueni-ne=m	foruššuēnnim
for-ēd-i	forēdi
for-ī=m=an, for-ī=man, fōri-ī=man	fōrīman
fovi-āi	fovāi
fud+ar+i+nni-a=lla	fudarinalla
fud+ol+i+m+a+šše	pudulimašši, pudulimāšši
fud+ol+i+m+a+šše-na-až-a	pudūlimaššinaža
fud+ol+i+m+a+šše-na=ma	pudūlimaššinama
fud+ol+i+ni-āi, fud-ul-in-i-āi	pudulināi
fud+ō+re	pudūri, pūduri
fud+ō+re-i-ž, fud+ō+re-ž	pudūrež
fud+ō+že-a, fud-ōž-a	fudōža
fud-o, fud-o, fud-u	pūdu
fud-o, fud-u	fōdu
fud-o-ež	puduž
fud-ošt-a-b-ā=l	pōduštabāl
