a-uw-a, auwi-a	awfa
ušḫu+ni	ušḫuni, ušḫōni
ušḫu+ni-ne-vā=l	ušḫunnibāl
ušḫu+ni-āe	ušḫunāe
ušḫu+ni-ōž	ōšḫunōž
ušḫu+ni-ž	ušḫunež
už+o+ni-a, už-ōn-a	užōna
už+o+ni-ne-ve-na, už+o+nni-ve-na	užunnibina
už-a, uži-a	uža
už-u	užu
uže-ne, uže-ne-e	uženi
ābē-ne, ābē-ne-e	ābēni
ākki	akki, ākki
ālla+i	allai, allāi
āllāni	allani, āllāni
āllāni-ne-da	allannida
āllāni-ne-e	āllānni
āllāni-va	āllaniva
āllāni=ma	āllānima
ālv-a, ālvi-a	ālva
ālz-i-b	ālzib
ālžīālli	alzialli, ālžialli
āmb-a, āmbi-a	āmba
āmm+a+nni-ne-va	āmmanniniva
āmmī-n-ī=n, āmmī-nē-n	āmmīnīn
āni	āni
ānnu, ānnu	ānnu
ānž+ali-ā=l, ānž-al-ā=l	ānžalāl
āpsukki-ož	āpsukkuž
ārari	ārari
āri-ne-da	ārrida
ārni-i=l	ārnil
āss+ar+ō+ḫḫe-a	āssarōḫḫa
āġmižari-ne-ž	āġmižarriž
āġr-ud-o-m	āġrudum
āšt+a+šḫe-ne, āšt+a+šḫe-ne-e	āštašḫini
āšte	āšte
āšte, āšte-i	āšti
āšte-a	āšta
āšte-b=ma	āštippa
āšte-i-nna, āšte-nna	āštenna
āšte-na	aštēna
āšte-ne-va	ašteniva
āšte-ne-va=an, āšte-ne-va=n	āštenivan
āšte-ne-ve	āštenibi
āšte-nna, āšte=nna	aštenna
āšte-va	āštiba
āšte-ī-va	āštīva
āšš-an-i-eva, āššani-b-a, āššani-i-va, āššani-va	āššaniba
āšš-i-ae-ž-a=l	āššaežal
āšš-id-en	āššiden, āššidin
āšš-ō-l-āe-ž	āššōlāež
āšši-a	āšša
āššōri-ve	āššōribi
āšḫ+i+tḫe-ne, āšḫ+i+tḫe-ne-e	āšḫitḫini
āšḫ+ož+i+kk+o+nni	ašḫužekkunni, ašḫužikkunni, āšḫužikkunni
āšḫ+ož+i+kk+o+nni-da	ašḫužikkunnida
āšḫ+ož+i+kk+o+nni-ne-va	ašḫužikkunniniba
āšḫ+ož+i+kk+o+nni-ne-ve	ašḫužikkuninibi, ašḫužikkunninibi, āšḫužikkunninibi
āšḫ+ož+i+kk+o+nni-ne-ve-ne-da	āšḫužikkunninibinida
āšḫ+ož+i+kk+o+nni-va	ašḫužikkunniba
āšḫ+ož+i+kk+o+nni-ve	ašḫužikkunnibi
āšḫ+ož+i+kk+o+nni=ma	ašḫužikkunnima, āšḫužikkunnima
āšḫ+ō+m+ai+ni-ve-ne-da=l, āšḫ+ō+m+ai-ne-ve-ne-da=l	āšḫōmainibinidal
āšḫ-o-ež	āšḫuž
āšḫ-ō+m+ai-n, āšḫ-ō+m+ai=n	āšḫōmain
āšḫi-a	āšḫa
āšḫi-ne-va	āšḫiniba
āšḫi-ī=ma	āšḫīma
āšḫo+e	ašḫuwe, āšḫuwe, āšḫuwi
āže	āže
āžri	āžri
ēar+že	ēarži
ēari-ne-ve-na=ma	ēarrivenama
ēari-ž	ēārež
ēbla	ēbla
ēbla-va	ēblava, īblaba
ēbla-ā=l	ēblāl
ēbla=m	ēblam
ēbla=n	ēblan
ēlgi, ēlgi-i	ēlgi
ēlgi-i=lla, ēlgi=lla	ēlgilla
ēlgi-āe	ēlgāe
ēnġi-a	ēnġa
ēpp+i+re	ēppiri
ēpḫe-ne	ēpḫēni
ēpḫe-ne-dan	ēpḫenidan
ēr-d-o-kko, ērd-o-kko	ērdukku
ērbiri-iffe, ērbiri-p-pe	ērbirippi
ērn-i, ērni	ērni
ēšḫ-i, ēšḫi	ēšḫi
ēḫḫi-a	ēḫḫa
ēḫḫi-ne-ž	ēḫḫinež
īa	īa
īa=d	īād
īa=d, īa=d	īad
īa=ma	īama
īa=mma, īa=mma	īamma
īani	īani
īll+uli-i-a, īll-ol-i-a	īllulia
īnna=nna=m	īnnannam
īpšade-ne-n	īpšadenen
ōl+mi-a, ōlm-a, ūl+me-a	ōlma
ōl+mi-šši	ōlmišši
ōll+o+ḫḫe-a	ōlluḫḫa
ōr+d-a-b, ōr+d-a=m	ōrdab
ōr+d-a=ffa=nan, ōr+d-a=ffa=nan	ōrdappanan
ōr+d-i-eva	ōrdeba
ōr+d-ō-bōr	ōrdōbōr
ōr+d-ō-ež	ōrdōž
ōrgi-ne	ōrgini
ōrgi-ne-n	ōrginin
ōġ+ni	ōġni
ōšt+a+nn+ō+ġe-a, ōšt+ann-ōġ-a	ōštannōġa
ōšš+o+ni-i=lla, ōšš-un-i=lla, ōšš-un-il-a, ōššunili-a	ōššunila
ōšš+o+že-a=nna, ōššuž+a+ni-na, ōššuž+a+nni-a	ōššužanna
ōšš-e	ōšše
ōšš-i, ōšš-i, ōšš-i, ōšš-i, ōšši	ōšši
ōšš-o-kko=m	ōššukkam
ōšš-ī=d	ūššīd
ōšš-ō+m+ai	ōššōmai
ōšš-ōšt-i	ōššōšti
ōžni-ai	ōžnai
šab+al+a+ni-da, šab+al+a+ni-i-da	šabalanida
šabad+ni=mma	šabadnimma
šabeni-āe	šabenāe
šabinuwa-ġe-ne-ve-na	šabinuwaġinibina
šabinuwa-ġe-ne-ž	šabinuwaġinaž
šabur+ni-a	šaburna
šad-ō-m	šadōm
šad-ōž-i	šadōži
šadani-ne-ž	šadanniž
šadani-ž	šadānež
šaderi-da, šaderi-i-da	šaderida
šadn-a, šadni-a	šadna
šag+ar+i-ī=lla	šagarēlla
šag+um+že-ne-ž	šagumženež
šag-ož-ill-and-i-n, šag-ož-ill-and-i=n	šagužellandin
šallae-na	šallaena, šāllaena
šallae-ne-n	šallaenen
šallaie-ne-e=l, šallaie-ne=l	šallaēnel
šalġ-o-l-ēž	šalġulēž
šalġ-ōl-a	šalġōla
šapḫaldi-b	šapḫaldib
šarn+i+tḫe	šarnitḫe
šarr+a+šše	šarrašši
šarr+a+šše-ne-e=n, šarr+a+šše-ne-n, šarr+a+šše-ne=n	šarraššinin
šarr-a, šarri-a	šarra
šarr-i, šarri, šāri-ne, šāri-ne-e	šarri
šarri-i-až	šarriaž
šarri-na	šarrina
šarri-na, šarri-na, šarrē-na	šarrēna
šarri-na-āž-e	šarrināže
šarri-ne-da	šarrinida
šarri-ne-va	šarriniba
šarri-ne-ve	šarrinibi
šarri-ne-ž	šarrinež
šarrumma=n	šarrumman
šarāmmē-ne, šarāmmē-ne-e	šarāmmēni
šarārmi-a	šarārma
šarže-a	šarža
šaržārai=ma, šaržāraima	šaržāraima
šattaġamōri-a	šattaġamōra
šatti, šātt-i	šatti
šatti, šātt-i, šātt-i	šātti
šatti=dil	šattidel
šauri-a=lla	šāwralla
šav+ō+že-ne-va	šavōžiniva
šavad+ni=mma	šavadnimma
šavli-a	šabla
šavli-na	šavālla
šavli-na-āž-e	šavallāži
šavli-ne, šavli-ne-e	šāvālli
šavli-ne-e	šaballi
šavli-āe	šablāe
šavoška	šauška
šavoška-da	šauškada, šauškāda
šavoška-va	šavuškava
šaġad+n+adi	šaġadnadi
šaġurunuwa-va	šaġurunuwaba
šašfe, šašfe	šašfe
šaž-an-ō-eva	šažanōva
šažari-ne, šažari-ne-e	šāžarri
šažari-ne-e	šažarri
šeb+ār+i-a, šeb-ār-a	šebāra
šel+o+že-ē-da, šel+o+žē-da, šel-ož-ēd-a	šelužēda
šel-a, šeli-a	šela
šel-ōl-id-o	šelōlidu
šell+o+ġ+l+o+pše-ne-ve, šell+o+ġ+l+o+pše-nē, šell+o+ġ+l+o+pše-nē-e	šelluġlupšenie
šell+o+ġ+o+li-na	šelluġulla
šell+o+šše-ae	šelluššae
šell+o+šše-āi	šelluššāi
šelli	šelli
šelli-a	šēlla
šelli-da, šelli-i-da	šellida
šelli-n	šellin, šēllin
šelli-ne, šelli-ne-e	šellini
šen+z+ūwi-a=tta	šenzūwatta
šena	šena
šena-i, šeni, šiye-ne, šiye-ne-e, šēn-i	šēni
šena-iffe	šeniffi, šēniffe
šena-na, šeni-na, šēn+ni-a, šēnni-a	šēnna
šend-ur-o-m	šendurum
šendamenni=n	šendamennīn
šer+ġe-ož, šerġi-ož	šerġuž
šer+že	šerže
šer+že-ne, šer+že-ne-e	šēržēni
šer+že-ne-e	šerženi, šērženi
šer-ed-aw	šeridab
šermin+ġe-a	šerminġa
šermin+ġe-ne-ž	šerminġinež
šervi-na-až-a	šervinaža
ševeri-na-āž-e	ševerrāže
šeġ+l-a, šeġl-a, šeġli-a	šeġla
šeġ+l-u	šeġlu
šeġal+a+šše+ġe-ne-e=mma, šeġal+a+šše+ġe-ne=mma	šeġalaššiġinimma
šeġal-a	šeġāla, šiġāla
šeġal-a, šeġali-a	šeġala, šēġala
šeġal-a=m, šeġali-a=m	šiġalam
šeġal-a=ma, šeġali-a=ma	šeġalama
šeġal-a=mma, šeġali-a=mma	šeġalamma
šeġal-ašt-a=ma	šēġalaštama
šeġal-ind-o-ež	šēġalinduž
šeġal-o-ež	šeġaluž
šeġal-o-l-ae-š=nna	šēġalulaešša
šeġal-o-l-aē-ž	šeġalulaēž
šeġal-o-l-āe-š=nna	šeġalulāešša
šeġal-o-l-āe-ž	šeġalulāež
šeġal-o-l-ēž	šeġalulēž, šēġalulēž
šeġal-o-m	šēġalum
šeġal-o-m-a=lla	šeġalummālla
šeġal-o-m-a=lla, šeġal-umme-a=lla	šēġalumalla
šeġal-ol-a=m	šeġalulam
šeġal-ož-ill-and-i-n, šeġal-ož-ill-and-i=n	šeġalužellandin
šeġal-ud-i-ež	šēġaludiž
šeġal-ā	šeġalā
šeġal-ō-l-ež	šeġalōlež
šeġali	šēġali
šeġel+zi-a	šeġelza
šeġiri-a	šeġira
šeġli-na	šeġella, šeġellina
šeġli-ne-e=dil, šeġli-ne-ne=dil, šeġli-ne=dil	šeġellinidel
šeġli-ne-ve-na	šeġellibina, šeġellivina
šeġli-ne-ve-na-až-ož, šeġli-ne-ve-na-āž-ož	šeġellibinažuž
šeġli-ne-ve-āi	šeġellibāi
šeġor+n+i+nni, šeġor+ni-nni	šeġurninni
šeġor+ni	šeġurni, šeġōrni
šeġor+ni-da, šeġor+ni-i-da	šeġōrnida
šeġor+ni-i-va, šeġor+ni-va	šeġurniba
šeġor+ni-ne-ve-ne-e	šeġurunnivini
šeġor+ni-ve-ne-e	šeġurnibini
šeġor+ni-ve-āe	šeġurnibāe
šeġor+ni-āe	šeġurnāe, šēġurnāe
šeġr+oli-i-da, šeġr-ol-ed-a	šeġrulida
šeġr-i, šeġri	šeġri
šeġr-o-ež, šeġri-ož	šeġruž
šeġōni-na-āž-a	šeġōnāža
šešfe	šešfe
šešti-na	šeštena
šešti-ne, šešti-ne-e	šešteni
šeštuġ+al+zi-ne, šeštuġ+al+zi-ne-e	šeštuġalzini
šeššali-ne, šeššali-ne-e, šeššalli	šeššalli
ši-a, ši-i-a, šiye, šiye-a, šiye-i-a, šī-a, šī-i-a	šia
ši-ur-i-va-en	šiurivain
ši-ūmb-a=lla	šiwumballa
šial-i-re-iffu-we	šialiribuwi
šial-ož-o-m	šialužum
šial-ē-re	šialēri
šial-ōž-o-m	šialōžum
šiali	šiali
šib-ā, šibi-ā	šibā
šid+ar+ni	šidarni
šid+ar+ni-a	šidarna, šidārna
šid+ar+ni-ai	šidarnai
šid+ō+ri	šidōri
šid+ō+ri-ne-va	šidurriva
šid-ar-ill-ō-m	šidarillōm
šid-i-l-āi	šidilāi
šid-ār-a	šidāra
šidarbu	šidarbu
šidarbu-ž=l	šidarbul
šig+adi-i-va=m, šig+adi-va=m	šigadibam
šigl+ade=mma	šiglademma
šikki-na-až-a=an, šikki-na-až-a=n	šikkinažan
šil+um+ō+tḫ-i-b, šil+um+ō+tḫe=m	šilumōtḫeb
šil-aġ-ugar-i=lla	šilaġugarilla
šil-d-an-ur-o-m, šild-an-ur-o-m	šildanurum
šil-āġ-i, šilāġi	šilāġi
šilaluġi-ne-da	šilaluġinida
šilavi-a	šilava, šilāva
šimi-ne-ž	šiminež
šimiga+i	šimegai
šimige	šimigi
šimige-ne=l	šimiginel
šin+z+o+ḫḫe-a=mma	šinzuḫḫamma
šin+ze	šinzi, šīnzi
šin+ze-a=mma	šinzamma
šin+ze=ma	šīnzima
šind+ade-āi	šindadāi
šind-a, šindi-a, šindi-a	šīnda
šind-i-ež, šindi-i-ž, šindi-ž, šindi-ž	šindiž
šindai	šindai, šindāi
šindai=b, šindi-āi=v	šindāib
šindi+ššē-ne, šindi+ššē-ne-e	šendiššēni
šindi+ž+ūwi-a=d	šindižūwad
šindi-a, šindi-a, šindi-a	šenda
šindi-na	šendena
šine-āi	šināi
šini=m, šini=m	šinim
šini=ma	šinima
šini=mma	šīnimma
šini=mma=m	šīnimmab
šinnaġi+ni-iffe-až	šinnaġinippaž
šinubi-ne, šinubi-ne-e	šinubini
šinurġi-na	šinurġina
šinut-ḫe-na, šinutḫi-na	šinutḫina
šir+ad-i-le	širadili, šīrādili
šiya-ne-da	šianeda
šiye	šīe
šiye, šiye-a, šī-a, šī-a, šī-i-a, šī-i-a, šī-ī-a, šī-ī-a	šīa
šiye-a=d	šīad
šiye-ai	šiai, šīai
šiye-na	šēna, šīena
šiye-na-až-a	šīenaža
šiye-na-až-ož, šiye-na-āž-ož	šīenažuž
šiye-na-āž-a	šīenāža
šiye-na-āž-e	šīenāže
šiye-na-āž-ož	šeēnāžuž, šīenāžuž
šiye-ne, šiye-ne-e	šīeni
šiye-ne-aē=l	šīenaēl
šiye-ne-e=lla, šiye-ne-ž=lla, šiye-ne=lla	šīenella
šiye-ne-e=ma, šiye-ne=ma	šēnima
šiye-ne-āi	šīenāi
šiye-ne-ž	šīenež, šīeniž
šiye-ā=ma, šī-i-ā=ma, šī-i-ā=ma, šī-ā=ma	šiāma
šiye-āe	šīāe
šiye-āi	šiāi, šīāi
šiye-ž	šiēž, šīež
šiāni=ma	šiānima
šo-da	šōda
šo-ve-ae, šowa-ae	šōvae
šo-āž-uda	šāžuda
šokki	šukki
šokko	šukku, šōkku
šokko-a, šukk-a	šukka
šokko=nna, šukk+o+ni-na, šukk+o+nni-a	šukkunna
šolli	šōlli
šolli-ā=d	šullād
šowa, šowa-a	šōva
šowa-ai=v	šōvaib
šowa-da	šūwada
šowa-āe	šōvāe
šowala-da, šowali-a=tta	šōvalada
šowala-ž	šōvalaž
šu-i-nd-a-šše	šuwindašši
šu-i-ēž, šō-i-ēž, šōe-ž	šuēž
šubi-ne-va	šūbīniva
šubri+ana-ž	šubrianaž
šubri-ve	šubribi
šubri-ve-na	šubribina
šubri-ve-ne-va	šubribiniba
šubri-ve-ne-ve	šubribinibi
šubri-ve-ne-ve-na-āž-a	šubribinibināža
šubri-ve=ma	šubribima
šug+ārd-ed-āw=l	šugārdedāwul
šui-ne-ž	šuinež
šukk+utt-a=tta, šukk+utti-a=tta	šukkuttatta
šukk+utt-a=tta=m, šukk+utti-a=tta=m	šukkuttattam
šukk-u-a	šukkua
šullūbri	šullūbri
šum-i, šumi-i	šumi
šumali-na=m	šumallam
šumm+a+ni-ne-ž, šumm+a+nni-ž	šummanniž
šumme-ra, šummeri-a	šummera
šummi+n, šummi-n	šummin
šummi+n=nna=m, šummi-n=nna=m, šummi=nna=m	šumminnam
šummi, šummi	šummi
šummi-da	šummida
šummi-da, šummi-ī-da	šummīda
šummi-ne	šummini
šummun-d-id-o=m	šummundidum
šummōnni	šummōnni
šumni-ne-ve	šumunnibi
šumni-ne-ž	šumunnež
šundi+ni-na	šundinna
šupp+a+šše-a=m, šupp+a+šše-a=v	šuppaššab
šur+a+tḫe-ne-ž	šuratḫiniž
šurakk+a+nni-a	šurakkanna
šurb-a, šurbi-a	šurba
šurbigi-na	šurbigina
šurbēgi	šurbēgi
šurr-ā=d	šurrād
šurr-ū	šurrū
šuw+a+ni-na-āž-a	šuwannāža
šuwanilam	šuwanilam
šuġr+ā+že-ne-ž	šuġrāženež
šuġraž+ni-a	šuġražna
šušk-i-b	šuškib
šuʾ-a, šuʾi-a	šuġa
šā+i+šḫe	šāišḫi
šāl-i, šāli	šāli
šāla	šāla
šāla-da	šālada
šālab+ni-i-ra, šālab+ni-ra, šālabniri-a	šālabnira
šālade-ne, šālade-ne-e	šāladeni
šāmani-ne, šāmani-ne-e, šāmanni	šāmanni
šāni-ne-ž	šānnež
šār-a, šār-a, šār-a, šāri-a, šāri-a	šāra
šār-i, šāri	šāri
šāri-a	šara
šāri-b	šārib
šāri-ne-ve	šārinevi
šātt-ed-a	šatteda
šātt-o-m	šattub, šattum, šāttub
šātt-īd-o	šāttīdu
šātt-ō-m	šāttūb
šāv+al-a=m, šāv-al-a=m	šāvalam
šāv+ō+ʾe, šāvō+e	šāvōe
šāġ+ar+i	šāġari
šāġl-i-ēž, šāġli-iē-ž, šāġlē-ž	šāġlēž
šē-al-id-en, šēal-id-en	šēalidin
šēd+oʾ+ilia-ne-ž	šēduilianiž
šēnde+šše-ne, šēnde+šše-ne-e	šēndeššini
šēr-a, šēri-a	šēra
šēr-i, šēri	šēri
šēr-i-a	šēria
šēri-na-āž-a	šerrāža
šēri-ne, šēri-ne-e	šērini
šēri-ne-e	šērri
šēri-ne-n	šerrin
šēri-ne-ē, šēri-nē	šerrē
šēri-ž	šēriž
šērižu	šērižu
šērāmmi	šērāmmi
šēġ+ad+ul+i+m+a+šše-na=ma	šēġadulimaššinama
šēġ-i-āi, šēġa-āi, šīġ-i-ai, šīġi-āi	šīġāi
šēġa, šēġa-a	šēġa
šēġa-n	šēġan
šēġa-ve-na-až-a=an, šēġa-ve-na-až-a=n	šīġāvenažan
šēġa-ā=ttā=ma, šīġ+ātti-ā=ma, šīġ-ā=ttā=ma, šīġ-āt-t-ā=ma, šīġi-ā=ttā=ma	šīġāttāma
šēġal+o+bade-a	šēġalubada
šēġala-na	šēġalana
šēš+še	šēšše
šēž-a, šēži-a, šēžē-a	šēža
šēžē	šēže, šēžie
šī+ni-a, šī-na	šīna
šī-a-šše, šī-i-a-šše	šiašši
šī-b	šib
šī-b, šī-i-b	šīb
šī-ed-i	šīedi
šī-i=l	šīel, šīl
šī-umme-ne, šī-umme-ne-e	šiummeni, šiwummini, šiōmmini
šī-umme-ne, šī-umme-ne-e, šī-ōmme-ne, šī-ōmme-ne-e	šīōmmini
šī-ī=m, šī=m	šīm
šī-ūl-i-lē=m, šīūli-ne-ē=m, šīūli-nē=m	šīwullēm
šī-ūmme-ne, šī-ūmme-ne-e	šīwummini
šīadi	šīadi
šīaiašše	šīaiašši
šīlvi-a	šīelva
šīnunaġi	šīnunaġi
šīr+ni-a, šīr+ni-a, šīrn-a	šīrna
šīr+ni-a=mma	šīrnamma
šīr+ni-b	širnib
šīr-a	šīra
šīr-i, šīr-i, šīri, šīri	šīri
šīrūri-a	šīrūra
šīuġi-a	šīwḫa
šīġ-a, šīġi-a	šīġa
šō+ni, šō+ni-i, šōn-i, šōn-i	šōni
šō+ni-b	šōnib, šūnib
šō+ni-b-a, šō+ni-i-va, šō+ni-va	šōniba
šō+ni-i-a, šōn-i-a	šōnia
šō+ni-i-až	šōniaž
šō+ni-ī-da	šūnīda
šō-i, šō-i, šōe, šōi	šōi
šō-i=ma, šō-i=ma, šōe=ma, šōi=ma	šōima
šōd-ošt-ī-ēž	šōduštiēž
šōe, šōe	šōe
šōe-ne, šōe-ne-e	šōeni
šōe-ne-ve-ne-nna	šōeniveninna
šōl-id-o	šōlidu
šōr+a+šše=lla, šōr-a-šše=lla	šōraššella
šōr-a, šōri-a	šōra
šōr-o-ež, šōri-ož	šōruž
šōri-n, šōri=n	šōrin
šōri-na, šōrr-a, šōrr-a	šōrra
šōġ+a+šše-ne, šōġ+a+šše-ne-e	šōġaššini
šōġoni-na-až-e	šōġunnaži
šōġoni-ne-ž	šuġunnež
šōġori	šōġuri
šōġori-ne, šōġori-ne-e	šōġurri
šūgatte-ne, šūgatte-ne-e	šūgatteni
šūgi	šūgi
šūgē=ma	šūgēma
šūli-a	šūla
šūp-t-a, šūpt-a, šūpti-a	šūpta
šūr+a+nni, šūr-i-anni, šūrani-ne, šūrani-ne-e	šūranni
šūr-i, šūre	šūri
šūr-ō-m	šūrōm
šūr-ōž-i, šūrūže	šūrūži
šūrbē-ne-ž	šūrbēnež
šūre, šūre-ne, šūre-ne-e	šūre
šūrni-ī=ma, šūrnī=ma	šūrnīma
šūw-ar-u-d-a=n=am, šūwarudi-a=n=am	šūwarudanam
šūži-i-ž, šūži-ž	šūžiž
šūḫḫ-ul-ušt-i-b, šūḫḫ-ul-ušt-i=m	šūḫḫuluštib
ūl+me	ulme
ūllu-ž	ūlluž
ūpš-ī-b	ūpšīb
ūrd+a+šše-nē-ž=lla	ūrdaššinēlla
ūrmi	ūrmi
ūrrugi-iffu-we	ūrrugivuwi
ūrġ-ā-b, ūrġ-ā=v, ūrġi-ā=v	ūrġāb
ūrġi	ūrġi
ūrġi-a	urġa
ūšte-ne, ūšte-ne-e	ūšteni
ḫa+i+ġe	ḫaiġi
ḫa-e	ḫāe
ḫa-i, ḫa-i	ḫāi
ḫa-i-b, ḫa-i=m	ḫāib
ḫa-i-b-ā=d, ḫa-i-evā=d	ḫāibād
ḫa-id-e	ḫāide
ḫa-id-en	ḫāiden
ḫa-id-o	ḫaidu
ḫa-iž-i, ḫā+i+že	ḫāiži
ḫa-o-m	ḫāum
ḫa-ol-i+m+āī-n	ḫāulimāīn
ḫa-ol-ill-ānd-o	ḫaulillāndu
ḫa-ož-a	ḫāuža
ḫa-ož-i	ḫāuži
ḫa-ā	ḫāž
ḫa-ā-šše, ḫašši	ḫāšši
ḫa-ā=l	ḫāl
ḫa-ī-b	ḫaīb, ḫāīb
ḫa-ōffu=l	ḫāōppul
ḫab+aḫḫ+ō+bade-a	ḫabaḫḫōbada
ḫabalgi	ḫabalgi
ḫabān-a-b	ḫabānab
ḫademi-ne-n	ḫademinin
ḫal+mi-na-āž-ož	ḫalmināžuž
ḫal+mi-ne-ve	ḫalminibi
ḫalandi	ḫalandi
ḫalba-a=an, ḫalba-a=n, ḫalba=an, ḫalba=n	ḫalban
ḫalikkuli	ḫalikkuli
ḫalz+ō+ġ+li-a	ḫalzōġla
ḫalze	ḫalze, ḫalzi
ḫalze-ne-e	ḫalzēni
ḫalze-ne-ve	ḫalzinibi
ḫam+ar+i-na-až-a, ḫamri-na-až-a	ḫamarraža
ḫam+ar+i-na-až-e-na, ḫamri-na-až-e-na	ḫamarražena
ḫamaz+i+a+šše-dan, ḫamaz+i+a+šše-i-dan	ḫamaziažidan
ḫamri-na	ḫamarra
ḫan+i+re	ḫaniri
ḫan+i+re-na	ḫanirra
ḫan+u+mb+a+sḫe	ḫanumbasḫi
ḫan+u+mb+a+sḫe-da, ḫan+u+mb+a+sḫe-i-da	ḫanumbasḫida
ḫani-ne-ž, ḫanni-ž	ḫanniž
ḫanni-ve-āe, ḫāni-ne-ve-āe	ḫannibāe
ḫapsōri	ḫapsuri, ḫapsōri
ḫapsōri-b	ḫapsurib, ḫapsōrib
ḫapsōri-da, ḫapsōri-i-da	ḫapsōrida
ḫapš-i	ḫāpšī
ḫapš-ār-ūw-a	ḫapšārūwa
ḫarġarai=ma, ḫarġaraima	ḫarġaraima
ḫassizi	ḫassizi
ḫassizi-ai	ḫassizai
ḫassizi-āe	ḫassizāe, ḫāzizāe
ḫassī-n, ḫassī=n	ḫassin
ḫatt+o+ġe	ḫattuġe
ḫatt+o+ġe-na-āž-a	ḫattōġināža
ḫatḫ-ēd-a	ḫatḫēda
ḫauz+o+ġe-a, ḫauz-uġ-a	ḫawsuġa
ḫav+ār+i-ne, ḫavāri-ne-e	ḫavārri
ḫav+āḫḫ+ō+bade-a	ḫavāḫḫōbada
ḫavor+ni	ḫaburni, ḫabōrni, ḫavorni, ḫavōrni
ḫavor+ni-a	ḫaburna
ḫavor+ni-n	ḫaburnin
ḫavor+ni-ne, ḫavor+ni-ne-e	ḫavorunni, ḫavorōnni, ḫavōrunne, ḫavōrunni
ḫavor+ni-ne-e=ma, ḫavor+ni-ne=ma	ḫavorunnima
ḫavor+ni-ne-n	ḫavorunnen, ḫavorunnin, ḫavōrunnin
ḫavor+ni-ne-ne	ḫavōrunnini
ḫavor+ni-ne-ra	ḫāvōrunnīra
ḫavor+ni-ne-va	ḫavōrunniba, ḫāvorunneva
ḫavor+ni-ne-ve	ḫavōrunnibi
ḫavor+ni-ne-ve-na	ḫavōrunnibina
ḫavor+ni-ne-š=nna	ḫavōrunnišša
ḫavor+ni-ož	ḫavōrnuž
ḫavēr+ni	ḫavirni, ḫavērni
ḫaziani-a	ḫaziana
ḫašt+al+i-ne, ḫašt+al+i-ne-e, ḫašt-al-i-le, ḫaštalli	ḫaštalli
ḫaššiadi, ḫaššiadi	ḫaššiadi
ḫaššiadi-na-āž-a	ḫaššiadināža
ḫaž-a, ḫāž-a, ḫāž-a, ḫāži-a	ḫāža
ḫaž-ar-i=nna, ḫāž+ar+i-i-nna, ḫāž+ar+i-nna, ḫāž+ar+i=nna, ḫāž-ar-i=nna	ḫāžarinna
ḫaž-ašt-i-le	ḫažaštili
ḫaž-až-i-b, ḫāž+a+že-b	ḫāžažib
ḫaž-až-i-l-ēž	ḫāžažilēž
ḫaž-až-il-aw=m	ḫažažilaum
ḫaž-i+m+āi	ḫažimāi
ḫaž-i+mm+a(i), ḫaž-i=mma	ḫažimma
ḫaž-ož-a, ḫāž-ož-a	ḫāžuža
ḫaž-ī+m+ai	ḫāžīmai
ḫaž-īd-ō=l	ḫāžīdūl
ḫaž-ōž-a, ḫāž-ōž-a	ḫāžōža
ḫažimari-ne	ḫažimarri
ḫebad, ḫebad	ḫebad
ḫebad-fa	ḫebapta
ḫebad-fe	ḫebapti, ḫebatte
ḫebad-ož	ḫebaduž
ḫebad-ve	ḫebatti
ḫebad-ve-na-až-ož	ḫebattenažuž
ḫebad-ve-na-āž-ōž	ḫebattenāžōž
ḫebad-ve-ne-da	ḫibaptenida
ḫebad-ve-ne-va=l	ḫebatpabnibal
ḫelde-ne, ḫelde-ne-e	ḫeldeni
ḫell+aḫḫ+ō+re	ḫellaḫḫōri
ḫelōvi-a	ḫelōva, ḫēlōva
ḫenni	ḫenni, ḫinni
ḫenni=m	ḫinnim
ḫenni=ma	ḫennēma, ḫinnima, ḫinnēma
ḫenni=mma	ḫinnimma
ḫenni=mma, ḫenni=mma	ḫinimma
ḫenz+ād-u	ḫenzādu
ḫenz-ā, ḫenzi-ā	ḫenzā
ḫenzi-i-da	ḫinzida
ḫer+ār+i	ḫerāri, ḫērāri
ḫeraġi	ḫerāġi
ḫeri, ḫēr-i	ḫēri
ḫeri-da, ḫeri-i-da	ḫerida
ḫeri-ne-ž	ḫerinež
ḫež+āl-a, ḫežāli-a	ḫežāla
ḫi+ar+i-a	ḫiara
ḫi+ar+o+ḫḫe	ḫeiaruḫḫi, ḫiaruḫḫi
ḫi+ar+o+ḫḫe-a	ḫiaruḫḫa
ḫi+ar+o+ḫḫe-na	ḫiaruḫḫina
ḫi+ar+o+ḫḫe-na-āž-a	ḫiaruḫḫināža
ḫiar+o+ni-na	ḫiarunna
ḫiari-ne-ž	ḫiarrež
ḫib-o-l-ēž	ḫibulēž
ḫibar+ni	ḫibarni
ḫide-ne-ve	ḫideneve
ḫil+i+ġe-ne, ḫil+i+ġe-ne-e	ḫiliġini
ḫil-a, ḫili-a	ḫīla
ḫil-id-e, ḫilde	ḫilde
ḫil-ēšt-a, ḫīlēšti-a	ḫīlēšta
ḫild+ār+i-a=lla, ḫild-ār-a=lla	ḫeldāralla
ḫild-a, ḫilde-a	ḫelda
ḫill-am-i-en, ḫill-am-i=n, ḫillame-n, ḫillame=n	ḫillamen
