form	segmentation	pos	morph_tag
idida	idi-da	noun	DIR
ediaža	idi-i-až-a	noun	3POSS.SG-PL-DAT/ESS
idiaža	idi-i-až-a	noun	3POSS-PL-DAT/ESS
edida	idi-i-da	noun	3POSS.SG-DIR
ideda	idi-i-da	noun	3POSS.SG-DIR
idida	idi-i-da	noun	3POSS.SG-DIR
idīda	idi-i-da	noun	3POSS.SG-DIR
ideba	idi-i-va	noun	3POSS.SG-DAT
idiba	idi-i-va	noun	3POSS.SG-DAT
ideb	idi-v	noun	2POSS.SG.ABS
idib	idi-v	noun	2POSS.SG.ABS
idīb	idi-v	noun	2POSS.SG.ABS
idibuda	idi-v-oda	noun	2POSS.SG-DIR
idibōda	idi-v-oda	noun	2POSS.SG-DIR
ideba	idi-va	noun	DAT
idiba	idi-va	noun	DAT
igingališḫenāma	igingališ-ġe-na=ma	noun	ADJ-RELAT.PL.ABS=CON
igingališḫināma	igingališ-ġe-na=ma	noun	ADJ-RELAT.PL.ABS=CON
irde	irde	noun	.ABS
irdi	irde	noun	.ABS
irdeda	irde-da	noun	DIR
irdida	irde-da	noun	DIR
irdeda	irde-i-da	noun	3POSS.SG-DIR
irdida	irde-i-da	noun	3POSS.SG-DIR
irdib	irde-v	noun	2POSS.SG.ABS
īrdib	irde-v	noun	2POSS.SG.ABS
itkulimašši	itk+ul+i+m+a+šše	noun	.ABS
itkulimāšši	itk+ul+i+m+a+šše	noun	.ABS
itkulumašši	itk+ul+i+m+a+šše	noun	.ABS
itkuž	itk-o-ež	verb	MOD.PAT-OPT
itkōž	itk-o-ež	verb	MOD.PAT-OPT
itkula	itk-ol-a	verb	ol-3A.SG
itkōla	itk-ol-a	verb	ol-3A.SG
itkalza	itkal+zi-a	noun	ESS
itkalzia	itkal+zi-a	noun	ESS
itkalzai	itkal+zi-ae	noun	INS
itkalzāe	itkal+zi-ae	noun	INS
itkalzāi	itkal+zi-ae	noun	INS
itkalzinibinažuž	itkal+zi-ne-ve-na-až-ož	noun	RELAT.SG-GEN-RELAT.PL-PL-ERG
itkalzinibināžuž	itkal+zi-ne-ve-na-až-ož	noun	RELAT.SG-GEN-RELAT.PL-PL-ERG
izōzi	izuzi	noun	.ABS
izūzi	izuzi	noun	.ABS
ištani	ištani	PREP	
ištaniž	ištani	PREP	
ištāni	ištani	PREP	
ištani	ištani	noun	.ABS
ištāni	ištani	noun	.ABS
ištanida	ištani-i-da	noun	3POSS.SG-DIR
ištanīda	ištani-i-da	noun	3POSS.SG-DIR
īštanida	ištani-i-da	noun	3POSS.SG-DIR
ište	ište	PRON	.ABS
išti	ište	PRON	.ABS
išteni	išteni	PREP	
išteniž	išteni	PREP	
išḫaran	išḫara=an	noun	.ABS=CON
išḫāran	išḫara=an	noun	.ABS=CON
išḫaran	išḫara=n	noun	.ABS=3SG.ABS
išḫāran	išḫara=n	noun	.ABS=3SG.ABS
išḫuniba	išḫoni-va	noun	DAT
išḫōniba	išḫoni-va	noun	DAT
ežuġni	ižuġ+ni	noun	.ABS
ižuġni	ižuġ+ni	noun	.ABS
kaballiž	kabli-ne-ž	noun	RELAT.SG-ERG
kāballež	kabli-ne-ž	noun	RELAT.SG-ERG
kadi	kad-i	verb	ANTIP
kādi	kad-i	verb	ANTIP
kadia	kad-i-a	verb	TR-3A.SG
kādia	kad-i-a	verb	TR-3A.SG
kadi	kadi	noun	.ABS
kāde	kadi	noun	.ABS
kādi	kadi	noun	.ABS
kangalbālla	kangalvi-a=lla	noun	ESS=3PL.ABS
kangalvalla	kangalvi-a=lla	noun	ESS=3PL.ABS
kapšuġāl	kapš-oġ-a=l	verb	oġ-3A.SG=3PL.ABS
kapšuġāl	kapš-oġ-a=l	verb	oġ-INT=3PL.ABS
kapšuġāma	kapš-oġ-a=ma	verb	oġ-3A.SG=CON
kapšuġāma	kapš-oġ-a=ma	verb	oġ-INT=CON
karžib	karži-v	noun	2POSS.SG.ABS
kāržib	karži-v	noun	2POSS.SG.ABS
katkinažuž	kat+ki-na-až-ož	noun	RELAT.PL-PL-ERG
katkināžuž	kat+ki-na-až-ož	noun	RELAT.PL-PL-ERG
kažla	kažl-a	verb	INT
kāžla	kažl-a	verb	INT
kažlulaiž	kažl-o-l-ai-ž	verb	MOD.PAT-l-PURP-ž
kažlulaēž	kažl-o-l-ai-ž	verb	MOD.PAT-l-PURP-ž
kažlulāež	kažl-o-l-ai-ž	verb	MOD.PAT-l-PURP-ž
kažla	kažli-a	noun	ESS
kāžla	kažli-a	noun	ESS
kibli	keb+li	noun	.ABS
kēbli	keb+li	noun	.ABS
keldāi	kel+di-ae	noun	INS
kēldāi	kel+di-ae	noun	INS
kirašši	ker+a+šše	ADJ	.ABS
kēraži	ker+a+šše	ADJ	.ABS
kirāži	ker+ā+že	ADJ	.ABS
