form	segmentation	pos	morph_tag
fōrālīnie	fōr+all+i+nni-e	noun	3POSS.SG.ABS
fōrālīnie	fōr+all+i+nni-i-e	noun	3POSS.SG-DIR/LOC
fōrālīzie	fōr+all+i+n+ze	noun	.ABS
fōrālīzie	fōr+all+i+n+ze-e	noun	3POSS.SG.ABS
fōrālīzie	fōr+all+i+n+ze-i-e	noun	3POSS.SG-DIR/LOC
fōrīman	for-i=m=an	verb	ANTIP=2SG.ABS=CON
fōrīman	for-i=man	verb	ANTIP=CON
ibima	ibi-i=ma	noun	3POSS.SG.ABS=CON
ibima	ibi=ma	noun	.ABS=CON
ibini	ibi-ne	noun	ABL/INS
ibini	ibi-ne-e	noun	RELAT.SG-DIR/LOC
ibradnanna	ibr+ad+n+a+ni-na	noun	RELAT.PL.ABS
ibradnanna	ibr+ad+n+a+nni-a	noun	ESS
ibradnanna	ibr+ad+ni-a=nna	noun	ESS=3SG.ABS
ideba	idi-i-va	noun	3POSS.SG-DAT
ideba	idi-va	noun	DAT
idebuž	idi-v-ož	noun	2POSS.SG-ERG
idebuž	idi-ve-ož	noun	GEN-EQU
ideda	idi-da	noun	DIR
ideda	idi-i-da	noun	3POSS.SG-DIR
idiba	idi-i-va	noun	3POSS.SG-DAT
idiba	idi-va	noun	DAT
idibi	idi-i-ve	noun	3POSS.SG-GEN
idibi	idi-ve	noun	GEN
idida	idi-da	noun	DIR
idida	idi-i-da	noun	3POSS.SG-DIR
idnida	id+ni-da	noun	DIR
idnida	id+ni-i-da	noun	3POSS.SG-DIR
igi	egi	noun	.ABS
igi	igi	noun	.ABS
igida	egi-da	noun	DIR
igida	egi-i-da	noun	3POSS.SG-DIR
igināžuž	egi-na-až-ož	noun	RELAT.PL-PL-ERG
igināžuž	igi-na-až-ož	noun	RELAT.PL-PL-ERG
ilāvān	ilāvā-a=an	noun	ESS=CON
ilāvān	ilāvā-a=n	noun	ESS=3SG.ABS
ilāvān	ilāvā=an	noun	.ABS=CON
ilāvān	ilāvā=n	noun	.ABS=3SG.ABS
indannim	ind+a+ni-ne-e=m	noun	RELAT.SG-DIR/LOC=CON
indannim	ind+a+ni-ne=m	noun	ABL/INS=CON
indannim	ind+a+nni=m	noun	.ABS=CON
inūru	in-ur-o	verb	ur-MOD.PAT
inūru	in-ur-u	verb	ur-MED
iraden	erade-n	noun	ABL/INS
iraden	erade=n	noun	.ABS=CON
irdeda	irde-da	noun	DIR
irdeda	irde-i-da	noun	3POSS.SG-DIR
irdi	irde	noun	.ABS
irdi	irde-i	noun	3POSS.SG.ABS
irdida	irde-da	noun	DIR
irdida	irde-i-da	noun	3POSS.SG-DIR
itkanzalla	itkan+zi-a=lla	noun	ESS=3PL.ABS
itkanzalla	itkan+zi=lla	noun	.ABS=3PL.ABS
itkian	itk-i-a=an	verb	TR-3A.SG=CON
itkian	itk-i-a=n	verb	TR-3A.SG=3SG.ABS
itkian	itk-i-en	verb	MOD.AG-3JUSS
itkurinella	itk-o-re-ne-e=lla	verb	PAT-PTCP-RELAT.SG-DIR/LOC=3PL.ABS
itkurinella	itk-o-re-ne-ž=lla	verb	PAT-PTCP-RELAT.SG-ERG=3PL.ABS
itkurinella	itk-o-re-ne=lla	verb	PAT-PTCP-ABL/INS=3PL.ABS
